job,part_number,customer,make_quantity,labor_hrs,labor_setup,labor_run,ot_hrs,ot_setup,ot_run,scrap_qty,scrap_run,scrap_setup
15-050,ASME RECOVERY ACETONE RECEIVER,SOLVSPEC,1,2.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00
15-050_BTM,,SOLVSPEC,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-050_MAN,,SOLVSPEC,1,3.75,0.00,3.75,1.00,0.00,1.00,0.00,0.00,0.00
15-050_PRE,,SOLVSPEC,1,8.00,0.00,8.00,9.25,0.00,9.25,0.00,0.00,0.00
15-050_TOP,,SOLVSPEC,1,3.50,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00
15-051,ASME A5 SURGE TANK,SOLVSPEC,1,49.75,0.00,49.75,20.00,0.00,20.00,0.00,0.00,0.00
15-051_BTM,,SOLVSPEC,1,2.50,0.00,2.50,3.00,0.00,3.00,0.00,0.00,0.00
15-051_MAN,,SOLVSPEC,1,53.00,0.00,53.00,16.00,0.00,16.00,0.00,0.00,0.00
15-051_PRE,,SOLVSPEC,1,155.25,0.00,155.25,34.50,0.00,34.50,0.00,0.00,0.00
15-051_TOP,,SOLVSPEC,1,28.00,0.00,28.00,19.00,0.00,19.00,0.00,0.00,0.00
15-052,ASME A1 STORAGE TANK,SOLVSPEC,1,115.25,0.00,115.25,39.50,0.00,39.50,0.00,0.00,0.00
15-052_BTM,,SOLVSPEC,1,3.50,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00
15-052_MAN,,SOLVSPEC,1,48.00,0.00,48.00,4.50,0.00,4.50,0.00,0.00,0.00
15-052_PRE,,SOLVSPEC,1,118.00,0.00,118.00,43.00,0.00,43.00,0.00,0.00,0.00
15-052_TOP,,SOLVSPEC,1,29.00,0.00,29.00,8.50,0.00,8.50,0.00,0.00,0.00
15-053,ASME UPSTAGE ACETONE TANK,SOLVSPEC,1,20.00,0.00,20.00,3.00,0.00,3.00,0.00,0.00,0.00
15-053_MAN,,SOLVSPEC,1,7.25,0.00,7.25,10.50,0.00,10.50,0.00,0.00,0.00
15-053_PRE,,SOLVSPEC,1,65.75,0.00,65.75,6.00,0.00,6.00,0.00,0.00,0.00
15-053_TOP,,SOLVSPEC,1,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
15-054,ASME UPSTAGE ACETONE TANK,SOLVSPEC,1,25.00,0.00,25.00,6.50,0.00,6.50,0.00,0.00,0.00
15-054_BTM,,SOLVSPEC,1,0.25,0.00,0.25,0.50,0.00,0.50,0.00,0.00,0.00
15-054_MAN,,SOLVSPEC,1,24.75,0.00,24.75,3.50,0.00,3.50,0.00,0.00,0.00
15-054_PRE,,SOLVSPEC,1,59.75,0.00,59.75,6.75,0.00,6.75,0.00,0.00,0.00
15-054_TOP,,SOLVSPEC,1,7.25,0.00,7.25,0.00,0.00,0.00,0.00,0.00,0.00
15-055,ASME UPSTAGE ACETONE TANK,SOLVSPEC,1,20.00,0.00,20.00,9.00,0.00,9.00,0.00,0.00,0.00
15-055_BTM,,SOLVSPEC,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-055_MAN,,SOLVSPEC,1,9.50,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00
15-055_PRE,,SOLVSPEC,1,48.25,0.00,48.25,1.75,0.00,1.75,0.00,0.00,0.00
15-055_TOP,,SOLVSPEC,1,13.50,0.00,13.50,4.00,0.00,4.00,0.00,0.00,0.00
15-056,ASME UPSTAGE ACETONE TANK,SOLVSPEC,1,33.25,0.00,33.25,8.50,0.00,8.50,0.00,0.00,0.00
15-056_MAN,,SOLVSPEC,1,11.00,0.00,11.00,2.50,0.00,2.50,0.00,0.00,0.00
15-056_PRE,,SOLVSPEC,1,43.75,0.00,43.75,0.75,0.00,0.75,0.00,0.00,0.00
15-056_TOP,,SOLVSPEC,1,4.50,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00
15-057,ASME ACETONE REFLUX VESSEL,SOLVSPEC,1,1.00,0.00,1.00,0.50,0.00,0.50,0.00,0.00,0.00
15-057_BTM,,SOLVSPEC,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-057_PRE,,SOLVSPEC,1,24.75,0.00,24.75,0.00,0.00,0.00,0.00,0.00,0.00
15-058,ASME ACETONE STORAGE VESSEL,SOLVSPEC,1,70.50,0.00,70.50,19.00,0.00,19.00,0.00,0.00,0.00
15-058_BTM,,SOLVSPEC,1,5.50,0.00,5.50,1.00,0.00,1.00,0.00,0.00,0.00
15-058_MAN,,SOLVSPEC,1,43.00,0.00,43.00,5.50,0.00,5.50,0.00,0.00,0.00
15-058_PRE,,SOLVSPEC,1,55.75,0.00,55.75,12.50,0.00,12.50,0.00,0.00,0.00
15-058_TOP,,SOLVSPEC,1,0.50,0.00,0.50,1.50,0.00,1.50,0.00,0.00,0.00
15-059,ASME DPS FLUSH TANK,SOLVSPEC,1,10.50,0.00,10.50,17.50,0.00,17.50,0.00,0.00,0.00
15-059_MAN,,SOLVSPEC,1,27.00,0.00,27.00,2.50,0.00,2.50,0.00,0.00,0.00
15-059_PRE,,SOLVSPEC,1,9.25,0.00,9.25,1.50,0.00,1.50,0.00,0.00,0.00
15-059_TOP,,SOLVSPEC,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
15-060_MAN,,SOLVSPEC,1,3.75,0.00,3.75,0.00,0.00,0.00,0.00,0.00,0.00
15-060_PRE,,SOLVSPEC,1,9.50,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00
15-061,ASME MELT/RECYCLE DPS VESSEL,SOLVSPEC,1,35.75,0.00,35.75,6.00,0.00,6.00,0.00,0.00,0.00
15-061_BTM,,SOLVSPEC,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
15-061_MAN,,SOLVSPEC,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-061_PRE,,SOLVSPEC,1,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
15-061_TOP,,SOLVSPEC,1,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
15-062,ASME MELT/RECYCLE DPS VESSEL,SOLVSPEC,1,39.50,0.00,39.50,20.00,0.00,20.00,0.00,0.00,0.00
15-062_BTM,,SOLVSPEC,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-062_PRE,,SOLVSPEC,1,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
15-062_TOP,,SOLVSPEC,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-063,HAUL TANKS,SOLVSPEC,1,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
15-064,ASME REPAIR,HALOPROD,1,9.00,0.00,9.00,4.00,0.00,4.00,0.00,0.00,0.00
15-065,ASME REPAIR,HALOPROD,1,3.50,0.00,3.50,4.00,0.00,4.00,0.00,0.00,0.00
15-066,ASME REPAIR,HALOPROD,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
15-068_MAN,,MILLIKEN,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
15-068_PRE,,MILLIKEN,1,14.25,0.00,14.25,0.50,0.00,0.50,0.00,0.00,0.00
15-069,ASME QUENCH FLUID VSL TAK-35,MILLIKEN,1,14.50,0.00,14.50,1.50,0.00,1.50,0.00,0.00,0.00
15-069_BTM,,MILLIKEN,1,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
15-069_MAN,,MILLIKEN,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
15-069_PRE,,MILLIKEN,1,26.00,0.00,26.00,9.50,0.00,9.50,0.00,0.00,0.00
15-069_TOP,,MILLIKEN,1,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
15-070_MAN,,MILLIKEN,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
15-070_PRE,,MILLIKEN,1,8.25,0.00,8.25,0.00,0.00,0.00,0.00,0.00,0.00
15-072,ASME ALTERATION TANK TAK-20,MILLIKEN,1,11.00,0.00,11.00,8.50,0.00,8.50,0.00,0.00,0.00
15-072_MAN,,MILLIKEN,1,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
15-072_PRE,,MILLIKEN,1,23.75,0.00,23.75,8.00,0.00,8.00,0.00,0.00,0.00
15-074,SS BIN 813,GOODHARV,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-074_MAN,,GOODHARV,1,30.00,0.00,30.00,3.50,0.00,3.50,0.00,0.00,0.00
15-074_PRE,,GOODHARV,1,24.75,0.00,24.75,8.75,0.00,8.75,0.00,0.00,0.00
15-074_TOP,,GOODHARV,1,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
15-075,SS PROCESSING BIN,GOODHARV,1,11.50,0.00,11.50,0.00,0.00,0.00,0.00,0.00,0.00
15-075_BTM,,GOODHARV,1,13.50,0.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00
15-075_MAN,,GOODHARV,1,78.50,0.00,78.50,34.00,0.00,34.00,0.00,0.00,0.00
15-075_PRE,,GOODHARV,1,88.25,0.00,88.25,34.50,0.00,34.50,0.00,0.00,0.00
15-075_TOP,,GOODHARV,1,7.00,0.00,7.00,5.50,0.00,5.50,0.00,0.00,0.00
15-077,"ONE 10"" DIA. MONEL REBOILER",HALOPROD,1,22.50,0.00,22.50,2.00,0.00,2.00,0.00,0.00,0.00
15-077_BTM,,HALOPROD,1,3.50,0.00,3.50,2.50,0.00,2.50,0.00,0.00,0.00
15-077_MAN,,HALOPROD,1,8.50,0.00,8.50,0.00,0.00,0.00,0.00,0.00,0.00
15-077_PRE,,HALOPROD,1,5.50,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00
15-078_BTM,,FLOQENGI,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-078_MAN,,FLOQENGI,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
15-078_PRE,,FLOQENGI,1,5.50,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00
15-080,TANK,JOHNGRIM,1,5.00,0.00,5.00,21.00,0.00,21.00,0.00,0.00,0.00
15-081,VESSEL,HALOPROD,1,28.50,0.00,28.50,7.50,0.00,7.50,0.00,0.00,0.00
15-081_BTM,,HALOPROD,1,7.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
15-081_MAN,,HALOPROD,1,13.50,0.00,13.50,3.00,0.00,3.00,0.00,0.00,0.00
15-081_PRE,,HALOPROD,1,8.25,0.00,8.25,1.50,0.00,1.50,0.00,0.00,0.00
15-082,VESSEL,HALOPROD,1,26.00,0.00,26.00,2.00,0.00,2.00,0.00,0.00,0.00
15-082_MAN,,HALOPROD,1,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
15-082_PRE,,HALOPROD,1,22.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00
15-083,ASME ALTERATION,SOLENISL,1,4.00,0.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00
15-084,ASME ALTERATION,SOLENISL,1,6.50,0.00,6.50,1.00,0.00,1.00,0.00,0.00,0.00
15-087,API 650 TANK,ASHLSPEC,1,67.50,0.00,67.50,5.50,0.00,5.50,0.00,0.00,0.00
15-087_BTM,,ASHLSPEC,1,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
15-087_MAN,,ASHLSPEC,1,51.50,0.00,51.50,1.00,0.00,1.00,0.00,0.00,0.00
15-087_PRE,,ASHLSPEC,1,78.25,0.00,78.25,13.75,0.00,13.75,0.00,0.00,0.00
15-087_TOP,,ASHLSPEC,1,9.50,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00
15-088,API 650 TANK,ASHLSPEC,1,24.00,0.00,24.00,3.50,0.00,3.50,0.00,0.00,0.00
15-088_BTM,,ASHLSPEC,1,4.50,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00
15-088_MAN,,ASHLSPEC,1,23.00,0.00,23.00,2.00,0.00,2.00,0.00,0.00,0.00
15-088_PRE,,ASHLSPEC,1,117.25,0.00,117.25,20.25,0.00,20.25,0.00,0.00,0.00
15-088_TOP,,ASHLSPEC,1,10.50,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00
15-090,API 650 TANK,TRINMANU,1,68.00,0.00,68.00,33.00,0.00,33.00,0.00,0.00,0.00
15-090_BTM,,TRINMANU,1,9.50,0.00,9.50,2.00,0.00,2.00,0.00,0.00,0.00
15-090_MAN,,TRINMANU,1,8.25,0.00,8.25,8.50,0.00,8.50,0.00,0.00,0.00
15-090_PRE,,TRINMANU,1,71.50,0.00,71.50,12.00,0.00,12.00,0.00,0.00,0.00
15-090_TOP,,TRINMANU,1,7.25,0.00,7.25,0.00,0.00,0.00,0.00,0.00,0.00
15-091,API 650 TANK,TRINMANU,1,25.00,0.00,25.00,21.00,0.00,21.00,0.00,0.00,0.00
15-091_BTM,,TRINMANU,1,7.50,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00
15-091_MAN,,TRINMANU,1,15.75,0.00,15.75,0.50,0.00,0.50,0.00,0.00,0.00
15-091_PRE,,TRINMANU,1,40.50,0.00,40.50,7.00,0.00,7.00,0.00,0.00,0.00
15-091_TOP,,TRINMANU,1,4.75,0.00,4.75,0.00,0.00,0.00,0.00,0.00,0.00
15-093,ASME CRUDE OIL TANK T-0148,MILLIKEN,1,21.00,0.00,21.00,2.00,0.00,2.00,0.00,0.00,0.00
15-093_MAN,,MILLIKEN,1,2.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00
15-093_PRE,,MILLIKEN,1,7.75,0.00,7.75,3.75,0.00,3.75,0.00,0.00,0.00
15-093_TOP,,MILLIKEN,1,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00
15-094,ASME DEA TANK T-0248,MILLIKEN,1,20.00,0.00,20.00,1.00,0.00,1.00,0.00,0.00,0.00
15-094_PRE,,MILLIKEN,1,9.75,0.00,9.75,3.75,0.00,3.75,0.00,0.00,0.00
15-094_TOP,,MILLIKEN,1,0.50,0.00,0.50,1.50,0.00,1.50,0.00,0.00,0.00
15-095,ASME RECEIVER T-0348,MILLIKEN,1,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
15-095_MAN,,MILLIKEN,1,1.00,0.00,1.00,5.00,0.00,5.00,0.00,0.00,0.00
15-095_PRE,,MILLIKEN,1,4.50,0.00,4.50,3.00,0.00,3.00,0.00,0.00,0.00
15-095_TOP,,MILLIKEN,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
15-096,DISSOLVING TANK,ANDRITZI,1,35.50,0.00,35.50,26.00,0.00,26.00,0.00,0.00,0.00
15-096_BTM,,ANDRITZI,1,79.00,0.00,79.00,13.50,0.00,13.50,0.00,0.00,0.00
15-096_MAN,,ANDRITZI,1,195.25,0.00,195.25,35.00,0.00,35.00,0.00,0.00,0.00
15-096_PRE,,ANDRITZI,1,111.25,0.00,111.25,14.00,0.00,14.00,0.00,0.00,0.00
15-096_TOP,,ANDRITZI,1,215.50,0.00,215.50,59.25,0.00,59.25,0.00,0.00,0.00
15-098,ROLL 6 HAND RAIL PIPES,AIRCO111,1,0.50,0.00,0.50,2.50,0.00,2.50,0.00,0.00,0.00
15-099,ASME REACTOR TANK,ALLNEXUS,1,291.50,0.00,291.50,99.00,0.00,99.00,0.00,0.00,0.00
15-099_BTM,,ALLNEXUS,1,13.00,0.00,13.00,2.50,0.00,2.50,0.00,0.00,0.00
15-099_MAN,,ALLNEXUS,1,26.00,0.00,26.00,3.50,0.00,3.50,0.00,0.00,0.00
15-099_PRE,,ALLNEXUS,1,61.00,0.00,61.00,8.50,0.00,8.50,0.00,0.00,0.00
15-099_TOP,,ALLNEXUS,1,20.50,0.00,20.50,5.00,0.00,5.00,0.00,0.00,0.00
15-100_BTM,,ALLNEXUS,1,9.50,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00
15-100_MAN,,ALLNEXUS,1,4.00,0.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00
15-100_PRE,,ALLNEXUS,1,1.50,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00
15-102,ROLL PLATE,NEWERECY,1,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
15-103,ASME REPAIR,HALOPROD,1,3.50,0.00,3.50,8.00,0.00,8.00,0.00,0.00,0.00
15-104,ASME TANK TAK-2708,MILLIKEN,1,4.50,0.00,4.50,0.50,0.00,0.50,0.00,0.00,0.00
15-104_MAN,,MILLIKEN,1,1.50,0.00,1.50,5.00,0.00,5.00,0.00,0.00,0.00
15-104_PRE,,MILLIKEN,1,7.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
15-105,RETORT ACCESS COLLAR,PLASPROC,1,2.50,0.00,2.50,6.00,0.00,6.00,0.00,0.00,0.00
15-106,AROSET STAINLESS TANK,ASHLANDI,1,20.00,0.00,20.00,13.50,0.00,13.50,0.00,0.00,0.00
15-106_BTM,,ASHLANDI,1,32.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00
15-106_MAN,,ASHLANDI,1,57.75,0.00,57.75,15.50,0.00,15.50,0.00,0.00,0.00
15-106_PRE,,ASHLANDI,1,33.00,0.00,33.00,7.50,0.00,7.50,0.00,0.00,0.00
15-106_TOP,,ASHLANDI,1,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
15-107,AROSET STAINLESS TANK,ASHLANDI,1,8.50,0.00,8.50,9.75,0.00,9.75,0.00,0.00,0.00
15-107_BTM,,ASHLANDI,1,11.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00
15-107_MAN,,ASHLANDI,1,17.75,0.00,17.75,0.50,0.00,0.50,0.00,0.00,0.00
15-107_PRE,,ASHLANDI,1,33.50,0.00,33.50,2.50,0.00,2.50,0.00,0.00,0.00
15-107_TOP,,ASHLANDI,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-109,STORAGE TANK,PCSNITROF,1,24.75,0.00,24.75,1.00,0.00,1.00,0.00,0.00,0.00
15-109_BTM,,PCSNITROF,1,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
15-109_PRE,,PCSNITROF,1,43.25,0.00,43.25,20.50,0.00,20.50,0.00,0.00,0.00
15-109_TOP,,PCSNITROF,1,8.00,0.00,8.00,4.00,0.00,4.00,0.00,0.00,0.00
15-110,"ASME VERTICAL TANK 15,000 GAL",NUTEMANA,1,18.50,0.00,18.50,2.50,0.00,2.50,0.00,0.00,0.00
15-110_BTM,,NUTEMANA,1,10.50,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00
15-110_MAN,,NUTEMANA,1,40.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00
15-110_PRE,,NUTEMANA,1,24.50,0.00,24.50,4.25,0.00,4.25,0.00,0.00,0.00
15-111,"ASME VERTICAL TANK 15,000 GAL",NUTEMANA,1,7.50,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00
15-111_BTM,,NUTEMANA,1,2.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00
15-111_MAN,,NUTEMANA,1,17.00,0.00,17.00,2.50,0.00,2.50,0.00,0.00,0.00
15-111_PRE,,NUTEMANA,1,28.75,0.00,28.75,1.25,0.00,1.25,0.00,0.00,0.00
15-112,"ASME VERTICAL TANK 15,000 GAL",NUTEMANA,1,12.50,0.00,12.50,2.75,0.00,2.75,0.00,0.00,0.00
15-112_BTM,,NUTEMANA,1,10.50,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00
15-112_MAN,,NUTEMANA,1,18.50,0.00,18.50,0.00,0.00,0.00,0.00,0.00,0.00
15-112_PRE,,NUTEMANA,1,35.50,0.00,35.50,0.00,0.00,0.00,0.00,0.00,0.00
15-112_TOP,,NUTEMANA,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-114,TANK REPAIR,HALOPROD,1,193.75,0.00,193.75,35.50,0.00,35.50,0.00,0.00,0.00
15-115,BREAK PARTS,AEROMACH,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
15-116,REPAIR PRESSURE VSL,HALOPROD,1,97.50,0.00,97.50,19.00,0.00,19.00,0.00,0.00,0.00
15-117,REPAIR PRESS VSL,HALOPROD,1,21.50,0.00,21.50,0.00,0.00,0.00,0.00,0.00,0.00
15-118,REPAIR PRES VSL,HALOPROD,1,2.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00
15-118_PRE,,HALOPROD,1,4.50,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00
15-119,ROLL PLATE,NEWERECY,1,2.00,0.00,2.00,0.50,0.00,0.50,0.00,0.00,0.00
15-120,FORMED TWO HALVES,AEROMACH,1,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
15-121,0027-83102 SULFURIC ACID,MERIPORT,1,138.75,0.00,138.75,63.50,0.00,63.50,0.00,0.00,0.00
15-122,0027-83101 REACTOR,MERIPORT,1,55.75,0.00,55.75,8.00,0.00,8.00,0.00,0.00,0.00
15-123,0005-83101 REACTOR,MERIPORT,1,76.75,0.00,76.75,16.50,0.00,16.50,0.00,0.00,0.00
15-124,0007-83101 REACTOR,MERIPORT,1,49.75,0.00,49.75,15.00,0.00,15.00,0.00,0.00,0.00
15-125,AMMONIA OIL DRAIN RECEIVER,PRODPROC,1,24.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00
15-126,M603 REPLACEMENT HEAD,INTEFLAV,1,50.25,0.00,50.25,1.50,0.00,1.50,0.00,0.00,0.00
15-127,T-1721 EJECTING WATER TANK,SYS-CON,1,92.25,0.00,92.25,44.00,0.00,44.00,0.00,0.00,0.00
15-128,T-1771 COOLING WATER TANK,SYS-CON,1,18.25,0.00,18.25,1.00,0.00,1.00,0.00,0.00,0.00
15-129,T-1741 CONDENSATE WATER TANK,SYS-CON,1,89.00,0.00,89.00,19.00,0.00,19.00,0.00,0.00,0.00
15-130,V-1741 MP FLASH VESSEL,SYS-CON,1,29.50,0.00,29.50,8.25,0.00,8.25,0.00,0.00,0.00
16-001,V-1620 N#2 OIL TANK,SYS-CON,1,31.00,0.00,31.00,12.50,0.00,12.50,0.00,0.00,0.00
16-002,V-1630 N#2 OIL TANK,SYS-CON,1,30.00,0.00,30.00,7.00,0.00,7.00,0.00,0.00,0.00
16-003,V-1640 N#2 OIL TANK,SYS-CON,1,29.00,0.00,29.00,8.00,0.00,8.00,0.00,0.00,0.00
16-004,T-1620 OIL TANK 21500 GAL,SYS-CON,1,173.00,0.00,173.00,23.00,0.00,23.00,0.00,0.00,0.00
16-005,T-1630 OIL TANK 21500 GAL,SYS-CON,1,127.50,0.00,127.50,21.25,0.00,21.25,0.00,0.00,0.00
16-006,T-1640 OIL TANK 21500 GAL,SYS-CON,1,97.75,0.00,97.75,7.00,0.00,7.00,0.00,0.00,0.00
16-007,T-1131 WATER TANK 21500 GAL,SYS-CON,1,106.75,0.00,106.75,9.50,0.00,9.50,0.00,0.00,0.00
16-008,WINDOW LINTEL,SAVAREST,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
16-009,ASME THERMAL STORAGE TANK,MCKEINC,1,89.50,0.00,89.50,6.75,0.00,6.75,0.00,0.00,0.00
16-010,SA-588 CORTEN STEEL STACK,INTEFLAV,1,37.00,0.00,37.00,12.75,0.00,12.75,0.00,0.00,0.00
16-011,SA-516 CARBON STEEL BLOWDOWN T,EVERPACK,1,34.50,0.00,34.50,0.50,0.00,0.50,0.00,0.00,0.00
16-012,VACUUM BREAKER,ANDRITZI,1,46.50,0.00,46.50,11.00,0.00,11.00,0.00,0.00,0.00
16-013,CONDENSATE TANK,ANDRITZI,1,4.50,0.00,4.50,3.50,0.00,3.50,0.00,0.00,0.00
16-014,TANK TK806 API 650,ONEACONS,1,167.75,0.00,167.75,9.00,0.00,9.00,0.00,0.00,0.00
16-015,TANK TK808 API 650,ONEACONS,1,149.75,0.00,149.75,24.00,0.00,24.00,0.00,0.00,0.00
16-016,TANK TK809 API 650,ONEACONS,1,50.00,0.00,50.00,0.50,0.00,0.50,0.00,0.00,0.00
16-017,TANK TK810 API 650,ONEACONS,1,155.25,0.00,155.25,21.50,0.00,21.50,0.00,0.00,0.00
16-018,TANK TK812 API 650,ONEACONS,1,90.75,0.00,90.75,0.00,0.00,0.00,0.00,0.00,0.00
16-019,TANK TK601 API 650,ONEACONS,1,81.75,0.00,81.75,5.25,0.00,5.25,0.00,0.00,0.00
16-020,TANK TK501,ONEACONS,1,40.00,0.00,40.00,1.00,0.00,1.00,0.00,0.00,0.00
16-021,TANK TK815 API 650,ONEACONS,799455,107.00,0.00,107.00,13.00,0.00,13.00,0.00,0.00,0.00
16-022,TANK TK201 ASME,ONEACONS,1,48.00,0.00,48.00,5.50,0.00,5.50,0.00,0.00,0.00
16-023,TANK TK202 ASME,ONEACONS,1,34.50,0.00,34.50,6.00,0.00,6.00,0.00,0.00,0.00
16-024,TANK TK205 ASME,ONEACONS,1,35.00,0.00,35.00,1.00,0.00,1.00,0.00,0.00,0.00
16-025,TANK TK101A ASME,ONEACONS,1,107.50,0.00,107.50,10.25,0.00,10.25,0.00,0.00,0.00
16-026,TANK TK102 ASME,ONEACONS,1,25.25,0.00,25.25,14.25,0.00,14.25,0.00,0.00,0.00
16-027,TANK TK301 ASME,ONEACONS,1,28.75,0.00,28.75,1.75,0.00,1.75,0.00,0.00,0.00
16-028,TANK TK302 ASME,ONEACONS,1,33.50,0.00,33.50,3.25,0.00,3.25,0.00,0.00,0.00
16-029,TANK TK303 ASME,ONEACONS,1,98.25,0.00,98.25,1.25,0.00,1.25,0.00,0.00,0.00
16-030,TANK TK101B ASME,ONEACONS,1,21.50,0.00,21.50,1.00,0.00,1.00,0.00,0.00,0.00
16-031,TANK TK204 ASME,ONEACONS,1,35.75,0.00,35.75,4.50,0.00,4.50,0.00,0.00,0.00
16-032,TANK TK206 ASME,ONEACONS,1,17.25,0.00,17.25,3.50,0.00,3.50,0.00,0.00,0.00
16-033,TANK TK207 ASME,ONEACONS,1,20.00,0.00,20.00,2.00,0.00,2.00,0.00,0.00,0.00
16-034,TANK TK814 API 650,ONEACONS,1,81.25,0.00,81.25,6.75,0.00,6.75,0.00,0.00,0.00
16-037,ASME REFLUX DRUM,INTEFLAV,1,7.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
16-038,SS SLATE SKI PLATES,GAF11111,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
16-039,REPAIR PRES VSL,HALOPROD,1,21.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00
16-040,900 GALLON CAPACITY STAINLESS,ARMSWORL,1,7.25,0.00,7.25,0.50,0.00,0.50,0.00,0.00,0.00
16-041,SUGAR HOLDING TANK,AIRCO111,1,184.75,0.00,184.75,26.00,0.00,26.00,0.00,0.00,0.00
16-042,EASTMAN HOPPER,AIRCO111,1,213.25,0.00,213.25,4.50,0.00,4.50,0.00,0.00,0.00
16-043,BRINE HOLDING TANK,ARBOLLC1,1,68.50,0.00,68.50,5.00,0.00,5.00,0.00,0.00,0.00
16-044,T-1797 COOLING WATER TANK,SYS-CON,1,30.25,0.00,30.25,9.00,0.00,9.00,0.00,0.00,0.00
