25-127,41,Clean Tank Complete,FINISHING,5,9.75,S,2026-01-13 00:00:00.000
25-127,42,QC Inspection - Clean,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-127,43,Prepare Tank for Shipment,FINISHING,1,0,O,2026-01-13 00:00:00.000
25-127,44,QC Inspection - Final & L,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-127,45,Load on Truck,SHIPPING,1,0,O,2026-01-13 00:00:00.000
25-128,0,Receive Material,PRE FAB,0,0,C,2026-01-13 00:00:00.000
25-128,1,UT Top & Bottom Heads,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,2,Cut Nozzle Pipe and Clean,PRE FAB,2,2,C,2026-01-13 00:00:00.000
25-128,3,Build Nozzles-Weld,PRE FAB,4,3.5,C,2026-01-13 00:00:00.000
25-128,4,Cut Parts on Burn Table,PRE FAB,6,5,C,2026-01-13 00:00:00.000
25-128,5,Clean & Prep Parts,PRE FAB,3,2,C,2026-01-13 00:00:00.000
25-128,6,"Bld Lift Lugs, Grd Lugs",PRE FAB,1,1,C,2026-01-13 00:00:00.000
25-128,7,Fab Miscellaneous Parts,PRE FAB,2,2,C,2026-01-13 00:00:00.000
25-128,8,Misc Fabrication,PRE FAB,2,2,C,2026-01-13 00:00:00.000
25-128,9,Wrap Top & Bottom Heads,PRE FAB,1,0,C,2026-01-13 00:00:00.000
25-128,10,UT Shells,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,11,"BI, SQ, T&C Shells",PRE FAB,1,1,C,2026-01-13 00:00:00.000
25-128,12,"Roll Shell, Tack-Weld I/S",PRE FAB,3,3.5,C,2026-01-13 00:00:00.000
25-128,13,QC Inspection -Top/Bot/Co,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,14,Set Nozzles & Lugs - Top,PRE FAB,1,2,C,2026-01-13 00:00:00.000
25-128,15,Weld Nozzles - Top Head,PRE FAB,3,2,C,2026-01-13 00:00:00.000
25-128,16,QC Inspection -Top/Bot/Co,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,17,Set Nozzles - Bottom Head,PRE FAB,1,1,C,2026-01-13 00:00:00.000
