Material,Description,Req_Count,Total_Est_Qty,Total_Act_Qty,Total_Est_Cost
GASKET RING 1/8X24 150#,"Gasket Ring 1/8""x24"" 150#",124,234.0,228.0,42297.19
GASKET RING 1/8X6 150#,"Gasket Ring 1/8""x6"" 150#",119,168.0,162.0,2744.9499999999994
PIPE 316L 2 SC40 WLD X,"Pipe 316L 2"" Sch40 Welded",118,161.42000000000002,161.0,29623.235
TESTING,,118,131.0,139.0,28608.548
NAMPLATE,Nameplate,117,128.0,131.0,2027.28
CHANNEL SA36 C6 8.2 X 20,Channel SA36 C6 8.2# x 20',112,342.34000000000003,347.0,35146.48683
BOLT B7 PL 1/2X3 HH,"Bolt B7 Plated 1/2"" x 3"" HH",111,2046.0,2034.0,3962.906200000001
PIPE 316L 6 SC40 WLD X,"Pipe 316L 6"" Sch40 Welded",109,87.77000000000001,87.6,24699.720600000004
PLT 304L 3/16 X 72 X,"Plate 304L 3/16""x 72""x",108,297.99999999999994,295.99999999999994,393010.7093199998
"FLANGE 316L 3""150 RFSO","Flange 316L 3"" 150# RFSO",104,338.0,322.0,18579.94
"PLT 304L 1/2""X X","Plate 304L 1/2""  x x",104,444.0,442.0,3783.0024
BOLT B7 PL 5/8X2 HH,"Bolt B7 Plated 5/8"" x 2"" HH",100,1395.0,1391.0,2692.014999999999
SHEET 12 GA 4 3/4 X 9,"Sheet 12 Gauge 4 3/4"" x 9""",99,99.0,102.0,495.0
BOLT B7 PL 3/4X3.5 HH,"Bolt B7 Plated 3/4"" x 3.5"" HH",94,1224.0,1192.0,5110.231199999994
"FLANGE 316L 2""150 RFSO","Flange 316L 2"" 150# RFSO",94,292.0,287.0,11726.185
PLT 316L 3/16 X 48 X,"Plate 316L 3/16""x 48""x",93,203.69999999999993,208.00000000000003,250176.61695999996
PLT 304L 3/8 X 60 X,"Plate 304L 3/8""x 60""x",93,151.7000000000001,152.3000000000001,301904.2677999996
PIPE 304L 1 SC40 WLD X,"Pipe 304L 1"" Sch40 Welded",89,115.5,109.0,8549.306999999999
DIPPLE JACKET,Build Dipple Jacket to Specs,89,104.0,103.0,433442.9998400004
AG 304L 3/8 X 3 X 3 X 20',"Angle 304L 3/8""x 3""x 3""x 20'",88,182.6,172.0,58641.86190000001
MACHINING,Machine per Instructions,88,159.00000000000003,173.00000000000003,114728.46
PLT 304L 1/2 X 48 X,"Plate 304L 1/2""x 48""x",86,60.81999999999998,61.149999999999984,132350.77474999998
"FLANGE 304L 3""150 BLIND","Flange 304L 3"" 150# BLIND",85,152.0,150.0,6934.590000000001
PIPE 304L 10 SC40 WLD X,"Pipe 304L 10"" Sch40 Welded",85,103.5,90.0,83642.32
"FLANGE SA105 2""150 RFSO","Flange SA105 2"" 150# RFSO",84,254.0,251.0,2650.532
AG SA36 1/4 X 3 X 3 X 20',"Angle SA36 1/4""x 3""x 3""x 20'",84,435.49999999999994,430.49999999999994,18886.411980000015
AG SA36 1/4 X 2 X 2 X 20',"Angle SA36 1/4""x 2""x 2""x 20'",83,148.00000000000009,153.00000000000009,5465.8686000000025
PLT 316L 3/16 X 60 X,"Plate 316L 3/16""x 60""x",82,365.75,370.75,509163.6394199999
PLT 304L 5/16 X 60 X,"Plate 304L 5/16""x 60""x",82,148.8,139.3,330141.18311999994
"FLANGE 316L 4""150 RFSO","Flange 316L 4"" 150# RFSO",80,158.0,156.0,10443.899999999996
"FLANGE SA105 3""150 RFSO","Flange SA105 3"" 150# RFSO",79,192.0,189.0,3274.3509999999987
PAINT,Paint Tank,79,69.0,66.0,214693.0
ROD 304L 1/2 X,"Rod 304L 1/2"" x",78,136.0,141.0,327.0
PLT 304L 1/2 X 60 X,"Plate 304L 1/2""x 60""x",74,98.7,98.1,332289.1404878004
"FLANGE 316L 3""150 WD NK","Flange 316L 3"" 150# WD NK",74,281.0,281.0,18501.61
PIPE 316L 8 SC40 WLD X,"Pipe 316L 8"" Sch40 Welded",74,55.0,55.0,13939.680000000002
GRATING CS 3/16 X 1.25-3X20,"Grating CS 3/16""x1.25""-3'x20'",73,145.75,145.75,91679.55810000004
"FLANGE 316L 3""150 BLIND","Flange 316L 3"" 150# BLIND",73,172.0,172.0,11909.229999999998
AG 316L 1/4 X 2 X 2 X 20',"Angle 316L 1/4""x 2""x 2""x 20'",73,140.0,152.0,26230.214579999996
FLAT 304L 3/8 X 2 X 12',"Flat Stk 304L 3/8""x 2""x 12'",72,162.0,159.0,14420.978289999997
"FLANGE 304L 4""150 BLIND","Flange 304L 4"" 150# BLIND",72,94.0,94.0,4575.740000000001
PLT 304L 3/8 X 48 X,"Plate 304L 3/8""x 48""x",72,94.75,94.75,153679.30399999995
"FLANGE SA105 4""150 RFSO","Flange SA105 4"" 150# RFSO",72,164.0,162.0,2932.399999999999
