55450,OH-26,1,SHERRI,2026-03-25 10:44:00.000
53580,25-068,54,SHERRI,2026-03-25 10:42:48.000
66016,25-099,27,SHERRI,2026-03-25 10:42:48.000
53628,25-069,39,SCOTT,2026-03-25 08:29:13.000
53629,25-069,40,SCOTT,2026-03-25 08:29:13.000
53683,25-070,31,SCOTT,2026-03-25 08:29:13.000
55452,OH-26,3,SCOTT,2026-03-25 08:27:20.000
55454,OH-26,5,SCOTT,2026-03-25 08:26:37.000
66024,25-101,3,SCOTT,2026-03-25 08:26:20.000
66144,25-118,11,SCOTT,2026-03-25 08:25:58.000
55649,25-093,30,SCOTT,2026-03-25 08:25:58.000
66030,25-101,9,SCOTT,2026-03-25 08:09:13.000
66031,25-101,10,SCOTT,2026-03-25 08:09:13.000
66101,25-117,15,SCOTT,2026-03-25 08:07:51.000
66116,25-117,30,SCOTT,2026-03-25 08:07:51.000
54614,25-013,38,SCOTT,2026-03-25 08:06:56.000
54615,25-013,39,SCOTT,2026-03-25 08:06:56.000
54616,25-013,40,SCOTT,2026-03-25 08:06:56.000
54612,25-013,36,SCOTT,2026-03-25 08:06:56.000
53750,25-071,35,SCOTT,2026-03-25 08:05:07.000
53758,25-071,43,SCOTT,2026-03-25 08:05:07.000
66093,25-117,7,SCOTT,2026-03-25 08:03:17.000
66140,25-118,7,SCOTT,2026-03-25 08:03:17.000
66142,25-118,9,SCOTT,2026-03-25 08:03:17.000
66092,25-117,6,SCOTT,2026-03-25 08:01:21.000
66032,25-101,11,SCOTT,2026-03-25 08:01:21.000
55572,25-092,18,SCOTT,2026-03-25 07:59:57.000
55642,25-093,23,SCOTT,2026-03-25 07:59:57.000
66097,25-117,11,SCOTT,2026-03-25 07:57:34.000
55453,OH-26,4,SCOTT,2026-03-25 07:41:11.000
66143,25-118,10,SCOTT,2026-03-25 07:38:26.000
66154,25-118,21,SCOTT,2026-03-25 07:38:26.000
55637,25-093,18,SCOTT,2026-03-25 07:37:39.000
55576,25-092,22,SCOTT,2026-03-25 07:37:39.000
55577,25-092,23,SCOTT,2026-03-25 07:37:39.000
55202,24-046,43,SCOTT,2026-03-25 07:36:01.000
55199,24-046,40,SCOTT,2026-03-25 07:36:00.000
55201,24-046,42,SCOTT,2026-03-25 07:36:00.000
53635,25-069,46,SCOTT,2026-03-24 07:57:09.000
53620,25-069,31,SCOTT,2026-03-24 07:57:09.000
54165,25-040,12,SCOTT,2026-03-24 07:50:16.000
55628,25-093,9,SCOTT,2026-03-24 07:45:51.000
66029,25-101,8,SCOTT,2026-03-24 07:45:51.000
66118,25-117,32,SCOTT,2026-03-24 07:44:25.000
53626,25-069,37,SCOTT,2026-03-24 07:41:06.000
53686,25-070,34,SCOTT,2026-03-24 07:41:06.000
66095,25-117,9,SCOTT,2026-03-24 07:39:19.000
66139,25-118,6,SCOTT,2026-03-24 07:39:18.000
55584,25-092,30,SCOTT,2026-03-24 07:36:31.000
55641,25-093,22,SCOTT,2026-03-24 07:35:34.000
66115,25-117,29,SCOTT,2026-03-24 07:34:34.000
66112,25-117,26,SCOTT,2026-03-24 07:34:34.000
53694,25-070,42,SCOTT,2026-03-23 06:51:59.000
53695,25-070,43,SCOTT,2026-03-23 06:51:59.000
53757,25-071,42,SCOTT,2026-03-23 06:51:59.000
53656,25-070,4,SCOTT,2026-03-23 06:26:15.000
53661,25-070,9,SCOTT,2026-03-23 06:26:15.000
53663,25-070,11,SCOTT,2026-03-23 06:26:15.000
66000,25-099,11,SCOTT,2026-03-23 06:23:16.000
66146,25-118,13,SCOTT,2026-03-23 06:22:42.000
54609,25-013,33,SCOTT,2026-03-23 06:21:17.000
66113,25-117,27,SCOTT,2026-03-23 06:20:26.000
56231,25-136,41,SCOTT,2026-03-21 08:24:01.000
56599,25-144,41,SCOTT,2026-03-21 08:24:01.000
56185,25-135,41,SCOTT,2026-03-21 08:17:26.000
56812,25-149,24,SCOTT,2026-03-21 08:16:01.000
57506,25-164,28,SCOTT,2026-03-21 08:16:01.000
53579,25-068,53,SCOTT,2026-03-21 08:13:04.000
53575,25-068,49,SCOTT,2026-03-21 08:13:04.000
53634,25-069,45,SCOTT,2026-03-21 08:10:33.000
53685,25-070,33,SCOTT,2026-03-21 08:10:33.000
56645,25-145,41,SCOTT,2026-03-21 08:09:12.000
56647,25-145,43,SCOTT,2026-03-21 08:09:12.000
55955,25-130,41,SCOTT,2026-03-21 08:09:12.000
57804,25-171,4,SCOTT,2026-03-21 08:06:43.000
57850,25-172,4,SCOTT,2026-03-21 08:06:43.000
57896,25-173,4,SCOTT,2026-03-21 08:06:43.000
57758,25-170,4,SCOTT,2026-03-21 08:06:42.000
57620,25-167,4,SCOTT,2026-03-21 08:06:42.000
57666,25-168,4,SCOTT,2026-03-21 08:06:42.000
57712,25-169,4,SCOTT,2026-03-21 08:06:42.000
57528,25-165,4,SCOTT,2026-03-21 08:06:42.000
57574,25-166,4,SCOTT,2026-03-21 08:06:42.000
57482,25-164,4,SCOTT,2026-03-21 08:06:42.000
57042,25-154,24,SCOTT,2026-03-21 08:01:47.000
57046,25-154,28,SCOTT,2026-03-21 08:01:47.000
57735,25-169,27,SCOTT,2026-03-21 07:56:08.000
57970,25-174,32,SCOTT,2026-03-21 07:56:08.000
57971,25-174,33,SCOTT,2026-03-21 07:56:08.000
57965,25-174,27,SCOTT,2026-03-21 07:56:08.000
57966,25-174,28,SCOTT,2026-03-21 07:56:08.000
57048,25-154,30,SCOTT,2026-03-21 07:53:11.000
57094,25-155,30,SCOTT,2026-03-21 07:53:11.000
57140,25-156,30,SCOTT,2026-03-21 07:53:11.000
56875,25-150,41,SCOTT,2026-03-21 07:50:22.000
55725,25-125,41,SCOTT,2026-03-21 07:42:39.000
53632,25-069,43,SCOTT,2026-03-21 07:42:06.000
53673,25-070,21,SCOTT,2026-03-20 08:20:48.000
53736,25-071,21,SCOTT,2026-03-20 08:20:48.000
55947,25-130,33,SCOTT,2026-03-20 08:19:50.000
55957,25-130,43,SCOTT,2026-03-20 08:19:50.000
56001,25-131,41,SCOTT,2026-03-20 08:19:50.000
56739,25-147,43,SCOTT,2026-03-20 08:19:50.000
56453,25-141,33,SCOTT,2026-03-20 08:19:50.000
55061,25-083,38,SCOTT,2026-03-20 08:17:20.000
54161,25-040,8,SCOTT,2026-03-20 08:17:20.000
54162,25-040,9,SCOTT,2026-03-20 08:17:20.000
66003,25-099,14,SCOTT,2026-03-20 08:15:48.000
55164,24-046,5,SCOTT,2026-03-20 08:14:26.000
55168,24-046,9,SCOTT,2026-03-20 08:14:26.000
55721,25-125,37,SCOTT,2026-03-20 08:13:20.000
55997,25-131,37,SCOTT,2026-03-20 08:13:20.000
55993,25-131,33,SCOTT,2026-03-20 08:13:20.000
55951,25-130,37,SCOTT,2026-03-20 08:13:20.000
55763,25-126,33,SCOTT,2026-03-20 08:13:20.000
55767,25-126,37,SCOTT,2026-03-20 08:13:20.000
55905,25-129,37,SCOTT,2026-03-20 08:13:20.000
56457,25-141,37,SCOTT,2026-03-20 08:13:20.000
56361,25-139,33,SCOTT,2026-03-20 08:13:20.000
56729,25-147,33,SCOTT,2026-03-20 08:13:19.000
56733,25-147,37,SCOTT,2026-03-20 08:13:19.000
56177,25-135,33,SCOTT,2026-03-20 08:13:19.000
56181,25-135,37,SCOTT,2026-03-20 08:13:19.000
56315,25-138,33,SCOTT,2026-03-20 08:13:19.000
56319,25-138,37,SCOTT,2026-03-20 08:13:19.000
55717,25-125,33,SCOTT,2026-03-20 08:13:19.000
56816,25-149,28,SCOTT,2026-03-20 08:05:10.000
57739,25-169,31,SCOTT,2026-03-20 08:05:10.000
57740,25-169,32,SCOTT,2026-03-20 08:05:10.000
57732,25-169,24,SCOTT,2026-03-20 08:05:10.000
57731,25-169,23,SCOTT,2026-03-20 08:05:09.000
54613,25-013,37,SCOTT,2026-03-20 08:03:00.000
54623,25-013,47,SCOTT,2026-03-20 08:03:00.000
53688,25-070,36,SCOTT,2026-03-20 08:01:47.000
