Job,Customer,Description,Status,Order_Date,Type,Est_Total_Hrs,Act_Total_Hrs,Total_Price
25-126,VERTCORP,BUFFER TANK 3 OF 224,Active,00:00.0,Regular,74,69.5,20500
25-145,VERTCORP,BUFFER TANK 22 OF 224,Active,00:00.0,Regular,74,43.75,20500
25-139,VERTCORP,BUFFER TANK 16 OF 224,Active,00:00.0,Regular,74,45.75,20500
25-135,VERTCORP,BUFFER TANK 12 OF 224,Active,00:00.0,Regular,74,63,20500
25-129,VERTCORP,BUFFER TANK 6 OF 224,Active,00:00.0,Regular,74,80,20500
25-144,VERTCORP,BUFFER TANK 21 OF 224,Active,00:00.0,Regular,74,49,20500
25-141,VERTCORP,BUFFER TANK 18 OF 224,Active,00:00.0,Regular,74,52.75,20500
25-136,VERTCORP,BUFFER TANK 13 OF 224,Active,00:00.0,Regular,74,51.25,20500
25-138,VERTCORP,BUFFER TANK 15 OF 224,Active,00:00.0,Regular,74,41,20500
25-172,VERTCORP,BUFFER TANK 49 OF 224,Active,00:00.0,Regular,74,7.25,20500
25-173,VERTCORP,BUFFER TANK 50 OF 224,Active,00:00.0,Regular,74,7.5,20500
25-149,VERTCORP,BUFFER TANK 26 OF 224,Active,00:00.0,Regular,74,30.5,20500
25-164,VERTCORP,BUFFER TANK 41 OF 224,Active,00:00.0,Regular,74,22.5,20500
25-121,KIMBCLAR,DUMP CHEST TANK,Active,00:00.0,Regular,0,0,142750
25-354,VERTCORP,EXP TANK SHIPMENT 7 (24),Active,00:00.0,Regular,0,0,39600
25-349,VERTCORP,EXP TANK SHIPMENT 2 (32),Active,00:00.0,Regular,0,0,52800
25-348,VERTCORP,EXP TANK SHIPMENT 1 (24),Active,00:00.0,Regular,0,0,39600
25-132,VERTCORP,BUFFER TANK 9 OF 224,Active,00:00.0,Regular,74,61.5,20500
25-137,VERTCORP,BUFFER TANK 14 OF 224,Active,00:00.0,Regular,74,47.25,20500
25-140,VERTCORP,BUFFER TANK 17 OF 224,Active,00:00.0,Regular,74,41.75,20500
25-142,VERTCORP,BUFFER TANK 19 OF 224,Active,00:00.0,Regular,74,55,20500
25-143,VERTCORP,BUFFER TANK 20 OF 224,Active,00:00.0,Regular,74,48.25,20500
25-146,VERTCORP,BUFFER TANK 23 OF 224,Active,00:00.0,Regular,74,46.75,20500
25-147,VERTCORP,BUFFER TANK 24 OF 224,Active,00:00.0,Regular,74,55.25,20500
25-131,VERTCORP,BUFFER TANK 8 OF 224,Active,00:00.0,Regular,74,69.5,20500
25-130,VERTCORP,BUFFER TANK 7 OF 224,Active,00:00.0,Regular,74,68,20500
25-133,VERTCORP,BUFFER TANK 10 OF 224,Active,00:00.0,Regular,74,53.25,20500
25-309,VERTCORP,BUFFER TANK 186 OF 224,Active,00:00.0,Regular,74,1,20500
25-310,VERTCORP,BUFFER TANK 187 OF 224,Active,00:00.0,Regular,74,1,20500
25-311,VERTCORP,BUFFER TANK 188 OF 224,Active,00:00.0,Regular,74,1,20500
25-312,VERTCORP,BUFFER TANK 189 OF 224,Active,00:00.0,Regular,74,1,20500
25-313,VERTCORP,BUFFER TANK 190 OF 224,Active,00:00.0,Regular,74,1,20500
25-314,VERTCORP,BUFFER TANK 191 OF 224,Active,00:00.0,Regular,74,1,20500
25-315,VERTCORP,BUFFER TANK 192 OF 224,Active,00:00.0,Regular,74,1,20500
25-316,VERTCORP,BUFFER TANK 193 OF 224,Active,00:00.0,Regular,74,1,20500
25-317,VERTCORP,BUFFER TANK 194 OF 224,Active,00:00.0,Regular,74,1,20500
25-318,VERTCORP,BUFFER TANK 195 OF 224,Active,00:00.0,Regular,74,1,20500
25-319,VERTCORP,BUFFER TANK 196 OF 224,Active,00:00.0,Regular,74,1,20500
25-320,VERTCORP,BUFFER TANK 197 OF 224,Active,00:00.0,Regular,74,1,20500
25-321,VERTCORP,BUFFER TANK 198 OF 224,Active,00:00.0,Regular,74,1,20500
25-322,VERTCORP,BUFFER TANK 199 OF 224,Active,00:00.0,Regular,74,1,20500
25-323,VERTCORP,BUFFER TANK 200 OF 224,Active,00:00.0,Regular,74,1,20500
25-324,VERTCORP,BUFFER TANK 201 OF 224,Active,00:00.0,Regular,74,1,20500
25-325,VERTCORP,BUFFER TANK 202 OF 224,Active,00:00.0,Regular,74,1,20500
25-326,VERTCORP,BUFFER TANK 203 OF 224,Active,00:00.0,Regular,74,1,20500
25-327,VERTCORP,BUFFER TANK 204 OF 224,Active,00:00.0,Regular,74,1,20500
25-328,VERTCORP,BUFFER TANK 205 OF 224,Active,00:00.0,Regular,74,1,20500
25-329,VERTCORP,BUFFER TANK 206 OF 224,Active,00:00.0,Regular,74,1,20500
25-243,VERTCORP,BUFFER TANK 120 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-244,VERTCORP,BUFFER TANK 121 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-245,VERTCORP,BUFFER TANK 122 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-246,VERTCORP,BUFFER TANK 123 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-247,VERTCORP,BUFFER TANK 124 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-248,VERTCORP,BUFFER TANK 125 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-249,VERTCORP,BUFFER TANK 126 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-250,VERTCORP,BUFFER TANK 127 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-251,VERTCORP,BUFFER TANK 128 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-252,VERTCORP,BUFFER TANK 129 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-254,VERTCORP,BUFFER TANK 131 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-255,VERTCORP,BUFFER TANK 132 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-257,VERTCORP,BUFFER TANK 134 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-258,VERTCORP,BUFFER TANK 135 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-259,VERTCORP,BUFFER TANK 136 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-260,VERTCORP,BUFFER TANK 137 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-261,VERTCORP,BUFFER TANK 138 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-262,VERTCORP,BUFFER TANK 139 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-263,VERTCORP,BUFFER TANK 140 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-264,VERTCORP,BUFFER TANK 141 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-253,VERTCORP,BUFFER TANK 130 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-256,VERTCORP,BUFFER TANK 133 OF 224,Active,00:00.0,Regular,74,0.5,20500
