Job,Customer,Description,Status,Status_Date,Est_Total_Hrs,Act_Total_Hrs,Total_Price,Last_Shipped_Date
26-004,FLOQENGI,RAIL BUFFER TANK #3,Active,00:00.0,0,0,150750,Ordered 2026
26-006,VERTCORP,TEMP SENSOR SHIPMENT 1,Active,00:00.0,0,0,92400,Ordered 2026
26-007,VERTCORP,TEMP SENSOR SHIPMENT 2,Active,00:00.0,0,0,123200,Ordered 2026
26-005,USSUGARC,POLISHING/TRAP FILTER BLOWDN TANK,Active,00:00.0,0,0,45500,Ordered 2026
26-008,VERTCORP,TEMP SENSOR SHIPMENT 3,Active,00:00.0,0,0,169400,Ordered 2026
26-009,VERTCORP,TEMP SENSOR SHIPMENT 4,Active,00:00.0,0,0,107800,Ordered 2026
26-010,VERTCORP,TEMP SENSOR SHIPMENT 5,Active,00:00.0,0,0,123200,Ordered 2026
26-011,VERTCORP,TEMP SENSOR SHIPMENT 6,Active,00:00.0,0,0,107800,Ordered 2026
26-012,VERTCORP,TEMP SENSOR SHIPMENT 7,Active,00:00.0,0,0,92400,Ordered 2026
26-013,VERTCORP,TEMP SENSOR SHIPMENT 8,Active,00:00.0,0,0,46200,Ordered 2026
26-001,SYNTHOMER,25-356 CHANGE ORDER,Active,00:00.0,0,0,42250,Ordered 2026
26-016,FLOQENGI,R3 REACTOR,Active,00:00.0,0,0,165000,Ordered 2026
26-015,FLOQENGI,R2 REACTOR,Active,00:00.0,0,0,114000,Ordered 2026
26-017,FLOQENGI,EPI TANK #1,Active,00:00.0,0,0,207000,Ordered 2026
26-018,FLOQENGI,EPI TANK #2,Active,00:00.0,0,0,207000,Ordered 2026
26-014,FLOQENGI,R1 REACTOR,Active,00:00.0,0,0,143500,Ordered 2026
25-127,VERTCORP,BUFFER TANK 4 OF 224,Active,00:00.0,74,77.75,20500,Ordered 2026
25-134,VERTCORP,BUFFER TANK 11 OF 224,Active,00:00.0,74,51,20500,Ordered 2026
25-128,VERTCORP,BUFFER TANK 5 OF 224,Complete,00:00.0,74,54.75,20500,Ordered 2026
25-170,VERTCORP,BUFFER TANK 47 OF 224,Active,00:00.0,74,8.5,20500,Ordered 2026
25-171,VERTCORP,BUFFER TANK 48 OF 224,Active,00:00.0,74,7.5,20500,Ordered 2026
25-308,VERTCORP,BUFFER TANK 185 OF 224,Active,00:00.0,74,1,20500,Ordered 2026
25-145,VERTCORP,BUFFER TANK 22 OF 224,Active,00:00.0,74,43.75,20500,"Prior year, worked on in 2026"
25-139,VERTCORP,BUFFER TANK 16 OF 224,Active,00:00.0,74,45.75,20500,"Prior year, worked on in 2026"
25-135,VERTCORP,BUFFER TANK 12 OF 224,Active,00:00.0,74,63,20500,"Prior year, worked on in 2026"
25-129,VERTCORP,BUFFER TANK 6 OF 224,Active,00:00.0,74,80,20500,"Prior year, worked on in 2026"
25-125,VERTCORP,BUFFER TANK 2 OF 224,Active,00:00.0,74,74.25,20500,"Prior year, worked on in 2026"
25-126,VERTCORP,BUFFER TANK 3 OF 224,Active,00:00.0,74,69.5,20500,"Prior year, worked on in 2026"
25-144,VERTCORP,BUFFER TANK 21 OF 224,Active,00:00.0,74,49,20500,"Prior year, worked on in 2026"
25-141,VERTCORP,BUFFER TANK 18 OF 224,Active,00:00.0,74,52.75,20500,"Prior year, worked on in 2026"
25-136,VERTCORP,BUFFER TANK 13 OF 224,Active,00:00.0,74,51.25,20500,"Prior year, worked on in 2026"
25-138,VERTCORP,BUFFER TANK 15 OF 224,Active,00:00.0,74,41,20500,"Prior year, worked on in 2026"
25-172,VERTCORP,BUFFER TANK 49 OF 224,Active,00:00.0,74,7.25,20500,"Prior year, worked on in 2026"
25-173,VERTCORP,BUFFER TANK 50 OF 224,Active,00:00.0,74,7.5,20500,"Prior year, worked on in 2026"
25-149,VERTCORP,BUFFER TANK 26 OF 224,Active,00:00.0,74,30.5,20500,"Prior year, worked on in 2026"
25-164,VERTCORP,BUFFER TANK 41 OF 224,Active,00:00.0,74,22.5,20500,"Prior year, worked on in 2026"
25-132,VERTCORP,BUFFER TANK 9 OF 224,Active,00:00.0,74,61.5,20500,"Prior year, worked on in 2026"
25-137,VERTCORP,BUFFER TANK 14 OF 224,Active,00:00.0,74,47.25,20500,"Prior year, worked on in 2026"
25-140,VERTCORP,BUFFER TANK 17 OF 224,Active,00:00.0,74,41.75,20500,"Prior year, worked on in 2026"
25-142,VERTCORP,BUFFER TANK 19 OF 224,Active,00:00.0,74,55,20500,"Prior year, worked on in 2026"
25-143,VERTCORP,BUFFER TANK 20 OF 224,Active,00:00.0,74,48.25,20500,"Prior year, worked on in 2026"
25-146,VERTCORP,BUFFER TANK 23 OF 224,Active,00:00.0,74,46.75,20500,"Prior year, worked on in 2026"
25-147,VERTCORP,BUFFER TANK 24 OF 224,Active,00:00.0,74,55.25,20500,"Prior year, worked on in 2026"
