Job,Customer,Description,Status,Status_Date,Est_Total_Hrs,Act_Total_Hrs,Total_Price,Last_Shipped_Date
25-222,VERTCORP,BUFFER TANK 99 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-223,VERTCORP,BUFFER TANK 100 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-225,VERTCORP,BUFFER TANK 102 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-226,VERTCORP,BUFFER TANK 103 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-227,VERTCORP,BUFFER TANK 104 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-228,VERTCORP,BUFFER TANK 105 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-229,VERTCORP,BUFFER TANK 106 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-230,VERTCORP,BUFFER TANK 107 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-231,VERTCORP,BUFFER TANK 108 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-232,VERTCORP,BUFFER TANK 109 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-233,VERTCORP,BUFFER TANK 110 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-234,VERTCORP,BUFFER TANK 111 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-236,VERTCORP,BUFFER TANK 113 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-237,VERTCORP,BUFFER TANK 114 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-238,VERTCORP,BUFFER TANK 115 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-239,VERTCORP,BUFFER TANK 116 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-240,VERTCORP,BUFFER TANK 117 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-241,VERTCORP,BUFFER TANK 118 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-242,VERTCORP,BUFFER TANK 119 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-224,VERTCORP,BUFFER TANK 101 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-235,VERTCORP,BUFFER TANK 112 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-215,VERTCORP,BUFFER TANK 92 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-296,VERTCORP,BUFFER TANK 173 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-297,VERTCORP,BUFFER TANK 174 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-298,VERTCORP,BUFFER TANK 175 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-299,VERTCORP,BUFFER TANK 176 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-300,VERTCORP,BUFFER TANK 177 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-301,VERTCORP,BUFFER TANK 178 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-302,VERTCORP,BUFFER TANK 179 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-303,VERTCORP,BUFFER TANK 180 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-304,VERTCORP,BUFFER TANK 181 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-305,VERTCORP,BUFFER TANK 182 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-306,VERTCORP,BUFFER TANK 183 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-307,VERTCORP,BUFFER TANK 184 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-124,VERTCORP,BUFFER TANK 1 OF 224,Complete,00:00.0,74,77,20500,"Prior year, worked on in 2026"
25-118,MERRINDU,MH-5301-HP-05000-CASING,Active,00:00.0,679,578,125500,"Prior year, worked on in 2026"
25-117,MERRINDU,MH-5301-HP-02000-CASING,Active,00:00.0,679,904,125500,"Prior year, worked on in 2026"
25-110,EPICSYST,T-117,Active,00:00.0,146,33.25,57500,"Prior year, worked on in 2026"
25-113,EPICSYST,T-120,Active,00:00.0,166,19.5,57750,"Prior year, worked on in 2026"
25-111,EPICSYST,T-118A,Active,00:00.0,205,15,55250,"Prior year, worked on in 2026"
25-109,EPICSYST,V-117,Active,00:00.0,56,7.25,26500,"Prior year, worked on in 2026"
25-101,HARPLOVE,T-1615 RUPTURE DISK CATCH TANK,Active,00:00.0,560,300.5,357000,"Prior year, worked on in 2026"
25-099,BURKINDU,CONE BOTTOM W/COIL,Complete,00:00.0,137,132.5,34250,"Prior year, worked on in 2026"
25-096,MILLIKEN,T-3405,Complete,00:00.0,97,84.5,21950,"Prior year, worked on in 2026"
25-097,MILLIKEN,T-3505,Complete,00:00.0,97,86.25,21950,"Prior year, worked on in 2026"
25-093,AMERTERP,CARBON UNIT #2,Active,00:00.0,325,265.25,106000,"Prior year, worked on in 2026"
25-092,AMERTERP,CARBON UNIT #1,Active,00:00.0,325,266.75,106000,"Prior year, worked on in 2026"
25-094,KIMBCLAR,420-TK-42003,Complete,00:00.0,80,58.5,28750,"Prior year, worked on in 2026"
25-089,VALMETIN,DISSOLVING TANK,Complete,00:00.0,1700,1998.75,835000,"Prior year, worked on in 2026"
25-084,ATLASMIN,SULFUR HOLDING TANK,Active,00:00.0,513,511.75,140500,"Prior year, worked on in 2026"
25-083,SYNTHOMER,REACTOR 12,Complete,00:00.0,511,386.5,164600,"Prior year, worked on in 2026"
25-080,DOMTARPA,DAF FILTRATE TANK,Complete,00:00.0,236,261.75,75500,"Prior year, worked on in 2026"
25-077,EPICSYST,R-301 DMN CSTR,Complete,00:00.0,141,138,34900,"Prior year, worked on in 2026"
25-078,EPICSYST,R-310 PACKED BED REACTOR,Complete,00:00.0,95,138.5,23650,"Prior year, worked on in 2026"
25-079,EPICSYST,R-311 PACKED BED REACTOR,Complete,00:00.0,95,101.5,23650,"Prior year, worked on in 2026"
25-060,RECOCOMM,BUFFER TANK #5,Complete,00:00.0,476,454,102250,"Prior year, worked on in 2026"
25-061,RECOCOMM,BUFFER TANK #6,Complete,00:00.0,476,403.5,102250,"Prior year, worked on in 2026"
25-062,RECOCOMM,BUFFER TANK #7,Complete,00:00.0,476,382.25,102250,"Prior year, worked on in 2026"
25-063,RECOCOMM,BUFFER TANK #8,Complete,00:00.0,476,382.25,102250,"Prior year, worked on in 2026"
25-064,RECOCOMM,BUFFER TANK #9,Complete,00:00.0,476,383,102250,"Prior year, worked on in 2026"
25-065,RECOCOMM,BUFFER TANK #10,Complete,00:00.0,476,389.5,102250,"Prior year, worked on in 2026"
25-068,RECOCOMM,BUFFER TANK #13,Complete,00:00.0,476,407.25,102250,"Prior year, worked on in 2026"
25-069,RECOCOMM,BUFFER TANK #14,Complete,00:00.0,476,398.5,102250,"Prior year, worked on in 2026"
25-066,RECOCOMM,BUFFER TANK #11,Complete,00:00.0,476,460,102250,"Prior year, worked on in 2026"
25-067,RECOCOMM,BUFFER TANK #12,Complete,00:00.0,476,411.75,102250,"Prior year, worked on in 2026"
25-070,RECOCOMM,BUFFER TANK #15,Active,00:00.0,476,375.75,102250,"Prior year, worked on in 2026"
25-071,RECOCOMM,BUFFER TANK #16,Active,00:00.0,476,385.5,102250,"Prior year, worked on in 2026"
25-055,AIRGASNITR,SST N20 REACTOR,Active,00:00.0,540,231,136000,"Prior year, worked on in 2026"
25-052,KRATCHEM,SKIM OIL TANK,Complete,00:00.0,536,572.5,186850,"Prior year, worked on in 2026"
25-040,NAKKILNS,HR 120 SHELL,Active,00:00.0,234,365,1128000,"Prior year, worked on in 2026"
25-011,KIMBCLAR,230-TK-23001,Complete,00:00.0,298,270,92750,"Prior year, worked on in 2026"
25-010,KIMBCLAR,220-TK-22112,Complete,00:00.0,116,88.5,29750,"Prior year, worked on in 2026"
25-016,KIMBCLAR,370-TK-37001,Complete,00:00.0,261,194,63000,"Prior year, worked on in 2026"
25-019,KIMBCLAR,520-TK-52001,Complete,00:00.0,261,158.5,61000,"Prior year, worked on in 2026"
25-020,KIMBCLAR,360-TK-36102,Complete,00:00.0,481,459.75,158500,"Prior year, worked on in 2026"
25-021,KIMBCLAR,861-TK-86101,Complete,00:00.0,353,365,122750,"Prior year, worked on in 2026"
25-017,KIMBCLAR,370-TK-37005,Complete,00:00.0,205,214,58500,"Prior year, worked on in 2026"
25-007,KIMBCLAR,160-TK-16001,Complete,00:00.0,389,397.25,106000,"Prior year, worked on in 2026"
25-018,KIMBCLAR,420-BT-42001,Complete,00:00.0,450,522.75,130500,"Prior year, worked on in 2026"
25-013,KIMBCLAR,340-TK-34001,Complete,00:00.0,365,347.5,116750,"Prior year, worked on in 2026"
25-012,KIMBCLAR,330-TK-3301,Complete,00:00.0,291,321.25,69850,"Prior year, worked on in 2026"
24-063,R2TCONSTRU,LIME DAY TANK #1,Complete,00:00.0,443,350.25,138280,"Prior year, worked on in 2026"
24-064,R2TCONSTRU,LIME DAY TANK #2,Complete,00:00.0,443,343.5,138280,"Prior year, worked on in 2026"
24-066,R2TCONSTRU,LIME BULK STORAGE TANK #2,Complete,00:00.0,490,452.75,161600,"Prior year, worked on in 2026"
24-065,R2TCONSTRU,LIME BULK STORAGE TANK #1,Complete,00:00.0,490,474.5,161600,"Prior year, worked on in 2026"
24-046,SYMSENGI,NMP STORAGE TANK (TK-F502R),Active,00:00.0,581,511.25,197500,"Prior year, worked on in 2026"
