Work_Center,Description,job_count,mean_est_hrs,median_est_hrs,std_est_hrs,mean_act_hrs,median_act_hrs
SHIPPING,P/U Parts - Galvanizers,44,3.2045454545454546,3.0,0.7649151177880582,2.25,2.25
FIT,"L/O Top, B&C Holes",42,6.404761904761905,5.5,4.803756273185797,7.714285714285714,7.0
FIT,Weld Nozzles - Top Head,42,12.523809523809524,8.0,12.490460936324899,15.761904761904763,11.25
PRE FAB,Build Platform-Weld,41,17.390243902439025,8.0,15.044730055372359,21.073170731707318,8.0
PRE FAB,Burn Platform Grating,41,7.0,6.0,5.73149195236284,9.823170731707316,7.0
PRE FAB,"Cut, Build Platform Parts",41,7.829268292682927,6.0,6.111065533212643,8.451219512195122,5.0
FIT,"Fit Platform, I&W Clips",39,14.820512820512821,8.0,15.075026044966233,17.346153846153847,9.0
PRE FAB,Mount Platform Handrail,39,4.666666666666667,2.0,3.9090538183025787,5.141025641025641,3.0
PRE FAB,Build Hatch/Door,38,6.578947368421052,4.0,6.297282034670359,4.151315789473684,1.5
PRE FAB,Drill/Punch holes,35,7.257142857142857,10.0,5.996777846295053,5.45,6.0
FIT,"Weld rings, lugs, suppts",35,16.085714285714285,12.0,15.295849934216927,15.021428571428572,9.5
PRE FAB,Bevel Top Head,34,3.8823529411764706,1.5,5.829728960290147,1.8676470588235294,1.0
PRE FAB,Build Baffles-Weld,33,14.636363636363637,12.0,10.905326054897964,10.43939393939394,8.0
PRE FAB,"Cut, Make Baffle Supports",32,3.5,3.0,0.842423539174232,3.296875,3.0
PRE FAB,Install Bottom Stiffeners,31,14.35483870967742,12.0,8.093406316653798,14.185483870967742,11.5
PRE FAB,Bevel Bottom Head,31,3.096774193548387,1.0,6.241553432224371,1.1451612903225807,1.0
FINISHING,Dye Pen Test,27,6.925925925925926,7.0,3.257251388776526,1.0833333333333333,0.0
PRE FAB,"Bld Skirt, F&T to Base",24,5.458333333333333,5.0,1.444003091248849,5.708333333333333,5.0
INSPECTION,QC Inspection - Ret Com,24,0.0,0.0,0.0,0.0,0.0
PRE FAB,"B&W Base Ring, Skirt",22,7.7727272727272725,8.0,1.0660035817780522,8.636363636363637,8.5
FIT,Install Dip Pipes,21,11.571428571428571,8.0,10.404669281488136,13.178571428571429,8.0
FIT,Install Mixer Bridge,20,14.75,18.0,5.8117394805233396,10.3125,9.5
FIT,Weld Nozzles - Bot. Head,20,2.2,2.0,0.7677718959499144,2.05,2.0
FIT,Weld Jacket to Shell,20,28.15,20.0,21.798780748135044,34.4875,13.0
INSPECTION,UT Components,20,0.0,0.0,0.0,0.125,0.0
FIT,Weld Skirt,18,7.666666666666667,8.0,0.9701425001453318,6.694444444444445,7.0
FIT,I&W Repads -Top,16,5.5625,4.0,4.411632350955823,6.3125,3.5
PRE FAB,Cut Parts-Mixer Bridge,15,9.0,4.0,7.377572190671632,9.683333333333334,7.0
PRE FAB,I&W Bottom Repads,12,6.083333333333333,4.5,3.36987545853858,5.791666666666667,7.0
PRE FAB,Build Mixer Bridge,12,22.833333333333332,15.0,20.098997412052597,22.958333333333332,18.75
PRE FAB,Bld T-B Stiffeners,11,14.272727272727273,2.0,23.233987643497226,13.5,2.0
FIT,Weld top to shell,11,11.545454545454545,12.0,4.8448660737658455,10.454545454545455,10.5
FIT,Fit Jacket to Shell,10,41.1,36.0,34.725750931805315,51.725,41.25
FIT,Weld Jacket to Bottom,10,15.7,16.0,9.345824973989425,26.4,21.5
FIT,Install Jacket Nozzles,10,8.6,7.0,7.042726744663604,4.55,4.5
