AP_Doc_Check,22518,7,3,2,0,"AP_Document (varchar), Amount_Applied (money), Last_Updated (datetime), AP_Doc_Check (varchar), Application_Type (smallint), Discount_Amt (float), AP_Check (varchar)"
AP_Document,22186,30,3,2,1,"AP_Document (varchar), Terms (varchar), Vendor (varchar), Document (varchar), Document_Date (datetime), Period (varchar), Original_Amt (money), Open_Amt (money), Open_Amt_Curr_Per (money), Due_Date (datetime), Type (varchar), Status (varchar), Entry_Date (datetime), Startup (bit), Discount_Amt (money), Discount_Date (datetime), Currency_Conv_Rate (float), Trade_Currency (int), Fixed_Rate (bit), Trade_Date (datetime), Note_Text (text), Last_Updated (datetime), Remit_To (int), Invoiced_By (varchar), User_Values (int), Transaction_Date (datetime), Paid_Date (datetime), Tax_Code (varchar), Taxable_Amt (money), JECount (int)"
JournalEntryAudit,19665,15,1,0,0,"Audit_ID (varchar), Journal_EntryKey (int), AP_Document (varchar), Reference (varchar), VendorID (varchar), GL_Account (varchar), Period (varchar), Amount (money), Posted (bit), Last_UpdatedJE (datetime), PostedHdr (varchar), Last_updatedHdr (datetime), Last_updated (datetime), User_Name (varchar), Machine_Name (varchar)"
AP_Check,14263,27,2,1,1,"Check_Number (int), Vendor (varchar), Bank (varchar), Check_Date (datetime), Check_Amt (money), Discount_Amt (money), Status (varchar), Type (varchar), Statement_Date (datetime), Last_Updated (datetime), Base_Discount_Amt (float), Note_Text (text), AP_Check (varchar), Posted (bit), Remit_To (int), Period (varchar), Void_Entry (varchar), Void_Date (datetime), Description (varchar), Reference (varchar), Trade_Currency (int), GL_Account (varchar), Currency_Conv_Rate (float), Trade_Date (datetime), Fixed_Rate (bit), Adjust_Type (smallint), Base_Amount (float)"
Cost,12476,8,2,1,0,"CostKey (int), Cost (int), Account (varchar), Period (varchar), Budget_Amt (money), MTD_Amt (money), Last_Updated (datetime), Per_Ending_Amt_5x (money)"
PO_Header,12049,30,4,2,0,"PO (varchar), Vendor (varchar), Ship_To (int), Ship_Via (varchar), Terms (varchar), Contact (int), Drop_Ship_Ship_To (int), Drop_Ship_Contact (int), Drop_Ship (varchar), Drop_Ship_Customer (varchar), Order_Date (datetime), Due_Date (datetime), Print_Date (datetime), FOB (varchar), Status (varchar), Issued_By (varchar), Currency_Conv_Rate (float), Trade_Currency (int), Fixed_Rate (bit), Trade_Date (datetime), Comment (text), Note_Text (text), Last_Updated (datetime), Tax_Code (varchar), PO_Type (int), Track_Changes (bit), Print_Details (bit), User_Values (int), ObjectID (uniqueidentifier), Revision (varchar)"
Material,7508,53,5,4,2,"Material (varchar), Primary_Vendor (varchar), User_Values (int), Shape (varchar), Location_ID (varchar), Sales_Code (varchar), Description (varchar), Type (varchar), Status (varchar), Pick_Buy_Indicator (varchar), Class (varchar), Rev (varchar), Stocked_UofM (varchar), Purchase_UofM (varchar), Cost_UofM (varchar), Price_UofM (varchar), Selling_Price (float), Standard_Cost (float), Average_Cost (float), Last_Cost (float), On_Order_Qty (float), Order_Point (float), Reorder_Qty (float), Lead_Days (smallint), UofM_Conv_Factor (float), Lot_Trace (bit), Rd_Whole_Unit (bit), Ext_Description (text), Make_Buy (varchar), Vendor_Reference (varchar), Drawing (varchar), Use_Price_Breaks (bit), Note_Text (text), Last_Updated (datetime), GL_Account (varchar), Price_Unit_Conv (float), Holder_ID (varchar), Job (varchar), Tax_Code (varchar), Taxable (bit), IS_Length (float), IS_Width (float), IS_Weight_Factor (float), IS_Thickness (float), Stock_Item (varchar), Affects_Schedule (bit), ObjectID (uniqueidentifier), Shape_OID (uniqueidentifier), Tooling (bit), IsSerialized (bit), MaxUsage (int), ShelfLife (float), ShelfLifeUofM (varchar)"
Additional_Charge,6079,23,2,1,0,"Additional_ChargeKey (int), Additional_Charge (int), Job (varchar), Sales_Code (varchar), Invoice (varchar), SO_Detail (int), Description (varchar), Est_Price (money), Act_Price (money), Job_Revenue (bit), Commssionable (bit), Processed (bit), Taxable (bit), Note_Text (text), Last_Updated (datetime), Tax_Code (varchar), Charge_Type (smallint), Due_Date (datetime), Approved (bit), Recurring (bit), Delivery (int), QB_ID (varchar), CommissionIncluded (bit)"
RFQ_Vendor,6063,8,1,0,0,"RFQ_Vendor (varchar), Vendor (varchar), PO_Header (varchar), Date_Added (datetime), Trade_Currency (int), Send_To_Address (int), Last_Updated (datetime), Contact (int)"
Invoice_Detail,5494,44,2,1,0,"Invoice_DetailKey (int), Invoice_Detail (int), Document (varchar), Document_Line (smallint), Packlist (varchar), Job (varchar), SO_Detail (int), Material_Trans (int), AR_Code (varchar), Description (varchar), Ship_Date (datetime), Quantity (int), Unit_Price (float), Price_UofM (varchar), Amount (money), Sales_Rep (varchar), Commission_Pct (float), Taxable (bit), Commissionable (bit), Discountable (bit), Backorder_Qty (float), Order_Qty (float), Job_Revenue (bit), Prepay (bit), Prepaid_Amt (money), Prepaid_Code (varchar), Reference (varchar), Note_Text (text), Last_Updated (datetime), Part_Number (varchar), Ext_Description (text), Part_Description (varchar), Revision (varchar), Customer_PO (varchar), POLine (varchar), Source_Type (smallint), Additional_Charge (int), Price_Coefficient (float), Order_Unit (varchar), Price_Unit_Conv (float), Tax_Code (varchar), Prog_Payment (bit), Prepaid_Tax_Amount (money), CommissionIncluded (bit)"
