23-105,THEINDUS,SPARE GASKETS,Active,2024-04-15 00:00:00.000,GASKET,As Specified,8,8,0,20.59,164.72,B,NULL,2024-04-18 00:00:00.000,1,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
23-105,THEINDUS,SPARE GASKETS,Active,2024-04-15 00:00:00.000,GASKET RING 1/8X12 150#,"Gasket Ring 1/8""x12"" 150#",8,8,0,3.88,31.04,B,NULL,2024-04-18 00:00:00.000,1,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
23-105,THEINDUS,SPARE GASKETS,Active,2024-04-15 00:00:00.000,GASKET RING 1/8X2 150#,"Gasket Ring 1/8""x2"" 150#",8,8,0,3.56,28.48,B,NULL,2024-04-18 00:00:00.000,1,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
23-105,THEINDUS,SPARE GASKETS,Active,2024-04-15 00:00:00.000,GASKET RING 1/8X6 150#,"Gasket Ring 1/8""x6"" 150#",8,8,0,2.31,18.48,B,NULL,2024-04-18 00:00:00.000,1,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
23-105,THEINDUS,SPARE GASKETS,Active,2024-04-15 00:00:00.000,SHIPPING,NULL,1,1,0,0,0.00,B,NULL,2024-04-18 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-024,GARRMACH,310 SS CYLINDER,Active,2024-05-09 00:00:00.000,"SS 310 3/8""THK X 60"" X 240""",SA240- 310,1,1,0,10330.5,10330.50,B,NULL,2024-05-30 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-024,GARRMACH,310 SS CYLINDER,Active,2024-05-09 00:00:00.000,WAAW310T1045X33,310 Flux Cored 045 SS Wire,66,0,66,21.075,1390.95,B,NEXAIR11,2024-06-17 00:00:00.000,1,0,O,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO PO CREATED
24-024,GARRMACH,310 SS CYLINDER,Active,2024-05-09 00:00:00.000,WAA W310T1045X33,310 FLUX CORED 045 SS WIRE,66,66,0,21.075,1390.95,B,NULL,2024-06-19 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-024,GARRMACH,310 SS CYLINDER,Active,2024-05-09 00:00:00.000,"BEAM A992, W4 X 13# X 30'","Beam A992, W4 X 13# X 30'",2,2,0,315,630.00,B,NULL,2025-03-19 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-024,GARRMACH,310 SS CYLINDER,Active,2024-05-09 00:00:00.000,"NUT, 3/4"" -10NC HH",SA194-2H (ZINC PLATED),16,16,0,0.46,7.36,B,NULL,2025-03-20 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-025,USSUGARC,EXPLOSION VENT PANEL,Active,2024-05-28 00:00:00.000,CV EXPLOSION VENT,D2012-4,1,1,0,2192,2192.00,B,NULL,2024-06-03 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-043,FLOQENGI,MANWAY HARDWARE TO CONVERT TO TOOL LESS,Active,2024-07-24 00:00:00.000,"FLIP OVER HANDLE ASSEMBLIES ","W/ 3/4""-10UNCX5.0"" L   ",8,8,0,111,888.00,B,NULL,2024-08-15 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,EST. FUEL SURCHRGE,NULL,1,1,0,7.37,7.37,B,NULL,2024-09-05 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,PLT 304L 1/4 X 72 X,"Plate 304L 1/4""x 72""x",1,1,0,904.12,904.12,B,NULL,2024-09-05 00:00:00.000,1,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,PLT 304L 3/16 X 60 X,"Plate 304L 3/16""x 60""x",2,2,0,1165.91,2331.82,B,NULL,2024-09-05 00:00:00.000,1,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,PLT 304L 3/16 X 72 X,"Plate 304L 3/16""x 72""x",1,1,0,694.89,694.89,B,NULL,2024-09-05 00:00:00.000,1,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,AG 304L 1/4 X 2 X 2 X 20',"Angle 304L 1/4""x 2""x 2""x 20'",1,1,0,234.78,234.78,B,NULL,2024-09-23 00:00:00.000,1,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,"BOLT, 3/4"" - 10 NC X 2 1/2"" HH",SA193-B7 (ZINC PLATED),2,2,0,5.1,10.20,B,NULL,2024-09-23 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,"BOLT, 3/4"" -10 NC X 2 1/2"" HH",SA193-B7 (ZINC PLATED),28,28,0,5.1,142.80,B,NULL,2024-09-23 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,"BOLT, 5/8"" - 11 NC X 1 1/2"" HH",SA193-B7 (ZINC PLATED),20,20,0,2.25,45.00,B,NULL,2024-09-23 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,"BOLT, 5/8"" - 11 NC X 3"" HH",SA193-B7 (ZINC PLATED),4,4,0,3.5,14.00,B,NULL,2024-09-23 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,"NUT, 3/4"" - 10NC HH ",SA194-2H (ZINC PLATED),4,4,0,0.51,2.04,B,NULL,2024-09-23 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,"NUT, 3/4"" -10 NC HH ",SA194-2H (ZINC PLATED),28,28,0,0.51,14.28,B,NULL,2024-09-23 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,"NUT, 5/8"" - 11 NC HH",SA194-2H (ZINC PLATED),4,4,0,0.33,1.32,B,NULL,2024-09-23 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
24-045,PISTINDU,OIL/WATER SEPARATION TANK,Active,2024-08-15 00:00:00.000,"NUT, 5/8"" - 11NC HH",SA194-2H (ZINC PLATED),20,20,0,0.33,6.60,B,NULL,2024-09-23 00:00:00.000,0,0,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FULLY RECEIVED
