25-307,VERTCORP,BUFFER TANK 184 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-308,VERTCORP,BUFFER TANK 185 OF 224,Active,2026-01-02 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-309,VERTCORP,BUFFER TANK 186 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-310,VERTCORP,BUFFER TANK 187 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-311,VERTCORP,BUFFER TANK 188 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-312,VERTCORP,BUFFER TANK 189 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-313,VERTCORP,BUFFER TANK 190 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-314,VERTCORP,BUFFER TANK 191 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-315,VERTCORP,BUFFER TANK 192 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-316,VERTCORP,BUFFER TANK 193 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-317,VERTCORP,BUFFER TANK 194 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-318,VERTCORP,BUFFER TANK 195 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-319,VERTCORP,BUFFER TANK 196 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-320,VERTCORP,BUFFER TANK 197 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-321,VERTCORP,BUFFER TANK 198 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-322,VERTCORP,BUFFER TANK 199 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-323,VERTCORP,BUFFER TANK 200 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-324,VERTCORP,BUFFER TANK 201 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-325,VERTCORP,BUFFER TANK 202 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-326,VERTCORP,BUFFER TANK 203 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-327,VERTCORP,BUFFER TANK 204 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-328,VERTCORP,BUFFER TANK 205 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-329,VERTCORP,BUFFER TANK 206 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-330,VERTCORP,BUFFER TANK 207 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-331,VERTCORP,BUFFER TANK 208 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-332,VERTCORP,BUFFER TANK 209 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-333,VERTCORP,BUFFER TANK 210 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-334,VERTCORP,BUFFER TANK 211 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-335,VERTCORP,BUFFER TANK 212 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-336,VERTCORP,BUFFER TANK 213 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-337,VERTCORP,BUFFER TANK 214 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-338,VERTCORP,BUFFER TANK 215 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-339,VERTCORP,BUFFER TANK 216 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-340,VERTCORP,BUFFER TANK 217 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-341,VERTCORP,BUFFER TANK 218 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-342,VERTCORP,BUFFER TANK 219 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-343,VERTCORP,BUFFER TANK 220 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-344,VERTCORP,BUFFER TANK 221 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-345,VERTCORP,BUFFER TANK 222 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-346,VERTCORP,BUFFER TANK 223 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-347,VERTCORP,BUFFER TANK 224 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,0.00,0,0,0,0,14,0.0
25-348,VERTCORP,EXP TANK SHIPMENT 1 (24),Active,2025-12-15 00:00:00.000,1,1,0,13920.00,4172.50,0,0,0,1,0,0.0
25-350,VERTCORP,EXP TANK SHIPMENT 3 (44),Active,2025-12-15 00:00:00.000,1,1,0,25520.00,0.00,0,0,0,0,1,0.0
25-351,VERTCORP,EXP TANK SHIPMENT 4 (28),Active,2025-12-15 00:00:00.000,1,1,0,16240.00,0.00,0,0,0,0,1,0.0
25-352,VERTCORP,EXP TANK SHIPMENT 5 (32),Active,2025-12-15 00:00:00.000,1,1,0,18560.00,0.00,0,0,0,0,1,0.0
25-353,VERTCORP,EXP TANK SHIPMENT 6 (28),Active,2025-12-15 00:00:00.000,1,1,0,16240.00,0.00,0,0,0,0,1,0.0
25-355,VERTCORP,EXP TANK SHIPMENT 8 (12),Active,2025-12-15 00:00:00.000,1,1,0,6960.00,0.00,0,0,0,0,1,0.0
26-007,VERTCORP,TEMP SENSOR SHIPMENT 2,Active,2026-01-19 00:00:00.000,4,4,0,156706.73,0.00,0,0,0,0,4,0.0
26-008,VERTCORP,TEMP SENSOR SHIPMENT 3,Active,2026-01-19 00:00:00.000,4,4,0,162049.37,0.00,0,0,0,0,4,0.0
26-009,VERTCORP,TEMP SENSOR SHIPMENT 4,Active,2026-01-19 00:00:00.000,4,4,0,67738.17,0.00,0,0,0,0,4,0.0
26-010,VERTCORP,TEMP SENSOR SHIPMENT 5,Active,2026-01-19 00:00:00.000,4,4,0,76445.26,0.00,0,0,0,0,4,0.0
26-011,VERTCORP,TEMP SENSOR SHIPMENT 6,Active,2026-01-19 00:00:00.000,4,4,0,67398.74,0.00,0,0,0,0,4,0.0
26-012,VERTCORP,TEMP SENSOR SHIPMENT 7,Active,2026-01-19 00:00:00.000,4,4,0,58352.22,0.00,0,0,0,0,4,0.0
26-013,VERTCORP,TEMP SENSOR SHIPMENT 8,Active,2026-01-19 00:00:00.000,4,4,0,31212.66,0.00,0,0,0,0,4,0.0
26-025,BLAKPEND,AIR RECEIVER TANK,Active,2026-03-11 00:00:00.000,2,2,0,14217.62,0.00,0,0,0,0,2,0.0
26-030,AMERTERP,0.374 SHELL_205-14 REPLACEMENT,Active,2026-03-20 00:00:00.000,2,2,0,15237.53,0.00,0,0,0,0,2,0.0
26-031,SOLVSPEC,CRUDE CRYSTALIZER SURGE DRUM,Active,2026-03-24 00:00:00.000,5,5,0,628062.60,0.00,0,0,0,0,5,0.0
26-032,KIMBCLAR,DRAINAGE BOX SEPARATOR,Active,2026-03-25 00:00:00.000,7,7,0,41830.56,0.00,0,0,0,0,7,0.0
25-132,VERTCORP,BUFFER TANK 9 OF 224,Active,2025-12-15 00:00:00.000,15,15,0,5329.75,4699.32,0,0,1,0,14,6.7
25-133,VERTCORP,BUFFER TANK 10 OF 224,Active,2025-12-15 00:00:00.000,15,15,0,2863.75,4699.32,0,0,1,0,14,6.7
25-125,VERTCORP,BUFFER TANK 2 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,4699.32,0,0,1,0,13,7.1
25-126,VERTCORP,BUFFER TANK 3 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,4699.32,0,0,1,0,13,7.1
25-127,VERTCORP,BUFFER TANK 4 OF 224,Active,2026-01-13 00:00:00.000,14,14,0,1363.75,4699.32,0,0,1,0,13,7.1
25-129,VERTCORP,BUFFER TANK 6 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,4699.32,0,0,1,0,13,7.1
25-130,VERTCORP,BUFFER TANK 7 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,4699.32,0,0,1,0,13,7.1
25-131,VERTCORP,BUFFER TANK 8 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,4699.32,0,0,1,0,13,7.1
25-134,VERTCORP,BUFFER TANK 11 OF 224,Active,2026-01-13 00:00:00.000,14,14,0,1363.75,4699.32,0,0,1,0,13,7.1
25-135,VERTCORP,BUFFER TANK 12 OF 224,Active,2025-12-15 00:00:00.000,14,14,0,1363.75,4699.32,0,0,1,0,13,7.1
